Unnamed: 0,label,text,hindi,bengali
0,Psoriasis,"I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is red, itchy, and covered in dry, scaly patches.","मैं पिछले कुछ हफ्तों से अपनी बाहों, पैरों और धड़ पर एक त्वचा पर चकत्ते का अनुभव कर रहा हूं। यह लाल, खुजली है, और सूखे, पपड़ीदार पैच में ढंका हुआ है।","আমি গত কয়েক সপ্তাহ ধরে আমার বাহু, পা এবং ধড়ের উপর ত্বকের ফুসকুড়ি অনুভব করছি। এটি লাল, চুলকানি এবং শুকনো, খালি প্যাচগুলিতে আচ্ছাদিত।"
1,Psoriasis,"My skin has been peeling, especially on my knees, elbows, and scalp. This peeling is often accompanied by a burning or stinging sensation.","मेरी त्वचा छील रही है, खासकर मेरे घुटनों, कोहनी और खोपड़ी पर। यह छीलना अक्सर एक जलती हुई या चुभने वाली सनसनी के साथ होता है।","আমার ত্বক খোসা ছাড়ছে, বিশেষত আমার হাঁটু, কনুই এবং মাথার ত্বকে। এই খোসাটি প্রায়শই জ্বলন্ত বা স্টিংিং সংবেদন সহ থাকে।"
2,Psoriasis,"I have been experiencing joint pain in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints.","मैं अपनी उंगलियों, कलाई और घुटनों में जोड़ों के दर्द का अनुभव कर रहा हूं। दर्द अक्सर दर्द और धड़कन होता है, और जब मैं अपने जोड़ों को स्थानांतरित करता हूं तो यह खराब हो जाता है।","আমি আমার আঙ্গুল, কব্জি এবং হাঁটুতে জয়েন্টে ব্যথা অনুভব করছি। ব্যথা প্রায়শই বেদনাদায়ক এবং থ্রোবিং হয় এবং আমি যখন আমার জয়েন্টগুলি সরান তখন এটি আরও খারাপ হয়।"
3,Psoriasis,"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them.","मेरी त्वचा पर धूल की तरह एक चांदी है, खासकर मेरी पीठ के निचले हिस्से और खोपड़ी पर। यह डस्टिंग छोटे पैमानों से बना है जो आसानी से बंद हो जाता है जब मैं उन्हें खरोंचता हूं।","আমার ত্বকে ধুলাবালি করার মতো রৌপ্য রয়েছে, বিশেষত আমার নীচের পিঠে এবং মাথার ত্বকে। এই ধুলা ছোট ছোট স্কেলগুলি দিয়ে তৈরি যা আমি যখন স্ক্র্যাচ করি তখন সহজেই ফ্লেক হয়ে যায়।"
4,Psoriasis,"My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms.","मेरे नाखूनों में उनमें छोटे डेंट या गड्ढे होते हैं, और वे अक्सर भड़काऊ और स्पर्श के लिए कोमल महसूस करते हैं। यहां तक ​​कि मेरी बाहों पर मामूली चकत्ते हैं।",আমার নখগুলিতে তাদের মধ্যে ছোট ছোট ডেন্ট বা পিট রয়েছে এবং তারা প্রায়শই স্পর্শে প্রদাহজনক এবং কোমল বোধ করে। এমনকি আমার বাহুতে ছোটখাটো ফুসকুড়ি রয়েছে।
5,Psoriasis,The skin on my palms and soles is thickened and has deep cracks. These cracks are painful and bleed easily.,मेरी हथेलियों और तलवों पर त्वचा गाढ़ा हो जाती है और गहरी दरारें होती हैं। ये दरारें दर्दनाक और आसानी से खून बहती हैं।,আমার তালুতে এবং তলগুলির ত্বক ঘন হয়ে গেছে এবং এতে গভীর ফাটল রয়েছে। এই ফাটলগুলি বেদনাদায়ক এবং সহজেই রক্তপাত হয়।
6,Psoriasis,"The skin around my mouth, nose, and eyes is red and inflamed. It is often itchy and uncomfortable. There is a noticeable inflammation in my nails.","मेरे मुंह, नाक और आंखों के चारों ओर की त्वचा लाल और सूजन होती है। यह अक्सर खुजली और असहज होता है। मेरे नाखूनों में एक ध्यान देने योग्य सूजन है।","আমার মুখ, নাক এবং চোখের চারপাশের ত্বক লাল এবং ফুলে গেছে। এটি প্রায়শই চুলকানি এবং অস্বস্তিকর হয়। আমার নখগুলিতে একটি লক্ষণীয় প্রদাহ রয়েছে।"
7,Psoriasis,My skin is very sensitive and reacts easily to changes in temperature or humidity. I often have to be careful about what products I use on my skin.,मेरी त्वचा बहुत संवेदनशील है और तापमान या आर्द्रता में परिवर्तन के लिए आसानी से प्रतिक्रिया करती है। मुझे अक्सर सावधान रहना पड़ता है कि मैं अपनी त्वचा पर किन उत्पादों का उपयोग करता हूं।,আমার ত্বক খুব সংবেদনশীল এবং তাপমাত্রা বা আর্দ্রতার পরিবর্তনে সহজেই প্রতিক্রিয়া জানায়। আমি আমার ত্বকে কোন পণ্য ব্যবহার করি সে সম্পর্কে আমাকে প্রায়শই সতর্ক থাকতে হবে।
8,Psoriasis,"I have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back. Also, I face severe joint pain and skin rashes.","मैंने अपने शरीर के विभिन्न हिस्सों में त्वचा के अचानक छीलने पर ध्यान दिया है, मुख्य रूप से हथियार, पैर और पीठ। इसके अलावा, मैं गंभीर जोड़ों के दर्द और त्वचा के चकत्ते का सामना करता हूं।","আমি আমার দেহের বিভিন্ন অংশে মূলত বাহু, পা এবং পিছনে ত্বকের খোসা ছাড়ার বিষয়টি লক্ষ্য করেছি। এছাড়াও, আমি গুরুতর জয়েন্টে ব্যথা এবং ত্বকের ফুসকুড়িগুলির মুখোমুখি।"
9,Psoriasis,"The skin on my genitals is red and inflamed. It is often itchy, burning, and uncomfortable. There are rashes on different parts of the body too.","मेरे जननांगों पर त्वचा लाल और सूजन है। यह अक्सर खुजली, जलन और असहज है। शरीर के विभिन्न हिस्सों पर भी चकत्ते हैं।","আমার যৌনাঙ্গে ত্বক লাল এবং স্ফীত। এটি প্রায়শই চুলকানি, জ্বলন্ত এবং অস্বস্তিকর হয়। শরীরের বিভিন্ন অংশেও ফুসকুড়ি রয়েছে।"
